Participant.ID,B1MA2,B1MA3,B1MA4,B1MA5,B2MA1,B2MA3,B2MA4,B2MA5,B3MA1,B3MA2,B3MA3,B3MA4,B3MA5,Mat_Att,Mat_Flu,Mat_Cen,Mat_Total,PD1,PD2,DD1,DD2,PA,Score,G0,G1,G2,G3,G4,G5
HL1,8,0,2,27,3,2,10,27,4,23,2,2,44,9.25,10.50,15.00,11.58,336.379,338.082,282.514,276.1,6.919,13.5,47,49,24,37,36,88
HL2,44,0,9,3,40,52,1,28,38,25,65,6,68,14.00,30.25,40.40,28.22,332.998,332.998,278.782,278.782,1.379,9.5,37,27,23,32,11,51
HL3,1,0,14,27,21,7,2,18,13,27,12,7,44,10.50,12.00,20.60,14.37,331.879,332.438,267.59,283.723,3.54,13.5,55,58,34,38,42,105
HL4,10,6,4,2,29,13,6,17,1,14,4,1,5,5.50,16.25,5.00,8.92,334.684,332.438,278.782,275.537,1.353,10.5,38,59,40,39,41,104
HL5,18,2,18,4,12,2,29,23,3,14,6,5,8,10.50,16.50,7.20,11.40,334.684,332.438,266.029,275.537,2.576,12,54,43,35,37,37,96
HL6,1,1,0,27,20,8,12,44,13,8,16,19,44,7.25,21.00,20.00,16.08,334.121,333.559,281.465,265.522,1.265,12.5,54,63,45,42,42,114
HL7,1,3,6,1,21,5,8,20,11,30,13,44,10,2.75,13.50,21.60,12.62,335.248,333.559,275.537,273.929,2.953,8,52,48,43,40,33,97
MH1,12,6,2,28,39,20,22,58,6,34,19,43,70,12.00,34.75,34.40,27.05,334.68,336.95,287.07,293.87,4.389,12.5,36,55,34,37,41,99
SH1,20,3,0,4,26,15,28,6,10,31,1,1,33,6.75,18.75,15.20,13.57,332.438,331.321,267.59,278.782,1.913,12,52,62,43,38,46,113
MH2,16,4,6,2,10,44,3,50,2,8,9,19,36,7.00,26.75,14.80,16.18,332.438,332.998,277.155,270.741,0.989,13.5,33,43,22,33,13,57
MH3,44,10,26,27,5,7,8,44,27,8,26,22,44,26.75,16.00,25.40,22.72,342.09,341.515,203.226,416.571,16.446,8.5,49,39,15,32,30,74
HL8,11,1,3,1,9,17,3,22,9,0,6,2,3,4.00,12.75,4.00,6.92,332.438,331.879,280.896,299.232,5.281,16,47,57,44,41,36,100
HL9,10,3,8,1,11,12,10,16,3,8,1,8,41,5.50,12.25,12.20,9.98,333.559,334.121,280.896,282.514,2.694,14,61,59,35,42,32,100
HL10,26,6,9,9,11,18,16,44,2,20,14,22,44,12.50,22.25,20.40,18.38,332.438,333.559,289.082,285.779,2.42,11,29,49,19,30,27,59
HL11,8,1,0,27,4,1,1,44,3,1,6,2,44,9.00,12.50,11.20,10.90,331.879,331.879,269.836,276.1,1.353,17,52,56,45,30,41,105
MH5,19,2,1,4,31,2,8,71,2,30,11,7,58,6.50,28.00,21.60,18.70,331.321,332.998,282.514,279.288,8.094,9,48,56,37,37,24,92
MH6,3,1,13,1,1,4,11,42,4,15,1,5,22,4.50,14.50,9.40,9.47,335.248,333.559,307.97,299.232,8.018,9,17,56,7,32,21,46
SH3,4,1,1,0,1,13,29,31,8,29,2,10,2,1.50,18.50,10.20,10.07,331.321,331.321,297.515,284.141,5.777,12,50,53,40,40,32,96
HL12,15,8,5,3,8,51,12,44,10,8,6,23,18,7.75,28.75,13.00,16.50,332.998,335.813,292.425,280.896,2.004,12,47,45,23,34,30,76
MH7,8,3,3,2,7,5,4,1,1,10,3,10,13,4.00,4.25,7.40,5.22,331.897,331.321,282.067,270.741,5.098,13,44,54,36,34,30,85
MH8,4,2,2,1,41,7,1,44,26,34,2,9,14,2.25,23.25,17.00,14.17,355.598,340.367,269.161,282.067,4.553,11,47,54,23,41,40,91
MH11,18,2,14,10,5,14,5,27,4,5,5,9,44,11.00,12.75,13.40,12.38,379.735,332.998,280.420,282.067,1.242,12,33,62,38,41,42,97
